,Are you self-employed?,Is your employer primarily a tech company/organization?,Is your primary role within your company related to tech/IT?,Does your employer provide mental health benefits as part of healthcare coverage?,Do you know the options for mental health care available under your employer-provided coverage?,"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",Does your employer offer resources to learn more about mental health concerns and options for seeking help?,"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",Do you think that discussing a mental health disorder with your employer would have negative consequences?,Do you think that discussing a physical health issue with your employer would have negative consequences?,Would you feel comfortable discussing a mental health disorder with your coworkers?,Would you feel comfortable discussing a mental health disorder with your direct supervisor(s)?,Do you feel that your employer takes mental health as seriously as physical health?,Do you have medical coverage (private insurance or state-provided) which includes treatment of mental health issues?,"If you have revealed a mental health issue to a client or business contact, do you believe this has impacted you negatively?",Do you believe your productivity is ever affected by a mental health issue?,Do you have previous employers?,Did you feel that your previous employers took mental health as seriously as physical health?,Would you be willing to bring up a physical health issue with a potential employer in an interview?,Would you bring up a mental health issue with a potential employer in an interview?,How willing would you be to share with friends and family that you have a mental illness?,Do you have a family history of mental illness?,Have you had a mental health disorder in the past?,Do you currently have a mental health disorder?,Have you been diagnosed with a mental health condition by a medical professional?,Have you ever sought treatment for a mental health issue from a mental health professional?,"If you have a mental health issue, do you feel that it interferes with your work when being treated effectively?","If you have a mental health issue, do you feel that it interferes with your work when NOT being treated effectively?",What is your age?,Do you work remotely?,target_current_condition,target_seek_treatment,diagnosis_reported_flag
Are you self-employed?,1.0,,,,,,,,,,,,,,,,-0.022451212671894878,-0.030602599733677606,0.03141725464347116,0.034022299197467964,0.036482203272984244,-0.008720718379952582,0.05973274654943712,0.058379956951921066,0.01952970552486627,0.0494316076681272,0.10253731887384447,0.02248665544171796,0.16962741458674604,0.2767287513388505,0.058379956951921066,0.0494316076681272,0.019535143538657398
Is your employer primarily a tech company/organization?,,1.0,,-0.02031114390237636,-0.02022877127241785,-0.10746530012693513,-0.1137813850228929,0.1354511552188959,-0.09551913274258934,-0.053286415863812206,0.09921882399479497,0.0283821466617715,0.05447310231469736,,,,0.03871449298235473,0.010004443295796908,0.002383300905756474,0.01184994830478952,0.055904242710957903,-0.01994481211598629,0.01786665790333765,0.0007661134750496419,-0.011940703370871846,-0.000933565599135568,0.05779059357144803,0.00459779812140342,-0.14120446171032328,0.20158850113876814,0.0007661134750496419,-0.000933565599135568,-0.007450537258298635
Is your primary role within your company related to tech/IT?,,,1.0,0.03138309631531113,-0.04876628139253863,-0.096780685549413,0.045551676508208024,0.08966738454203248,-0.15477256934563433,-0.13425529933213837,-0.034145464888860944,0.07123125467534758,0.010472550469871753,,,,0.04516101541428192,0.04989243298982926,-0.04559820675295133,0.015111983010108122,0.0858077327692541,-0.010295114444929242,0.10419659574662386,0.002451098190940655,0.05199565918100681,0.02029817166601412,-0.16194958520158564,-0.11726967709061276,-0.05317883181550825,0.05366139096169947,0.002451098190940655,0.02029817166601412,0.048252173600461565
Does your employer provide mental health benefits as part of healthcare coverage?,,-0.02031114390237636,0.03138309631531113,1.0,0.4122932275593792,0.16073483872866948,0.38477388185761124,0.08555203581817487,-0.08721462299487828,-0.07108974259500514,0.11479353836073879,0.12393223416509372,0.07634241021905475,,,,0.06607734443967117,-0.010264869036920534,0.0030740189679686046,-0.04310434791246787,0.10737130893953038,0.08688657936212306,0.1387884604970978,0.14375863322595359,0.13280773887899452,0.13755629052716484,-0.07396187073784696,0.02386723990407425,0.14215181066286423,0.11671751140906438,0.14375863322595359,0.13755629052716484,0.12608810416352298
Do you know the options for mental health care available under your employer-provided coverage?,,-0.02022877127241785,-0.04876628139253863,0.4122932275593792,1.0,0.1758865601528683,0.2212482760702074,0.09331476618175868,-0.08478507780150041,-0.07541371952108981,0.1368291795185732,0.1335996164732247,0.05641234173704654,,,,0.03729131584903399,-0.05395505670664088,0.05643574756087474,0.013441133755484433,0.16898330662045155,0.18617568391499334,0.25874199548791027,0.26814674740309896,0.2782718333130997,0.24477358206284558,-0.035646433648422036,0.16797121284741473,0.036576797490087326,0.03709839050389814,0.26814674740309896,0.24477358206284558,0.2729146264826301
"Has your employer ever formally discussed mental health (for example, as part of a wellness campaign or other official communication)?",,-0.10746530012693513,-0.096780685549413,0.16073483872866948,0.1758865601528683,1.0,0.4607040181278521,0.21917024943442878,-0.17580396376426952,-0.08515049657909252,0.19232080181081188,0.22063024281190868,0.29537485624345816,,,,0.021601258624974817,-0.041618654823712034,0.04255162168941145,0.04909815211622192,0.10197758559580516,0.006433249613615047,-0.017053626434165307,-0.043011533826368596,-0.007682250431945791,0.03548657139709695,-0.05935129256719563,0.009534481424011717,0.07108668189986142,0.013753630094989299,-0.043011533826368596,0.03548657139709695,-0.016409648597032183
Does your employer offer resources to learn more about mental health concerns and options for seeking help?,,-0.1137813850228929,0.045551676508208024,0.38477388185761124,0.2212482760702074,0.4607040181278521,1.0,0.17981292833344134,-0.12074699599463895,-0.04758658129012943,0.12038191153458716,0.17334666794692194,0.18368284268557655,,,,0.04669095192719647,-0.009973791063422593,0.028995950140099966,0.05881631991306672,0.05415204063971006,0.028366794823207083,0.025527389251779872,0.025508042669577253,0.04823868885595092,0.06490126158647998,-0.10329505890456607,-0.028216626554861474,0.14188793451071102,0.06442416957771006,0.025508042669577253,0.06490126158647998,0.048616941276787194
"If a mental health issue prompted you to request a medical leave from work, asking for that leave would be:",,0.1354511552188959,0.08966738454203248,0.08555203581817487,0.09331476618175868,0.21917024943442878,0.17981292833344134,1.0,-0.581211501719333,-0.34481680759063604,0.3509653529413895,0.4562024693928101,0.46160963495452534,,,,-0.00565462140567128,0.177034941026022,0.12806760966880995,0.26851015577465953,0.2134010691728914,-0.15038804634026426,-0.1708024437295029,-0.17995153696790542,-0.13267127837913276,-0.1743649008044069,-0.09442469831627212,-0.053095204450740036,-0.045942631521931024,0.16170865725731656,-0.17995153696790542,-0.1743649008044069,-0.13547607794497607
Do you think that discussing a mental health disorder with your employer would have negative consequences?,,-0.09551913274258934,-0.15477256934563433,-0.08721462299487828,-0.08478507780150041,-0.17580396376426952,-0.12074699599463895,-0.581211501719333,1.0,0.5093085767595967,-0.44663518511865913,-0.5580652724675239,-0.4889055293555002,,,,-0.06276392584367518,-0.13314166163109084,-0.19760628875219158,-0.3089611261446635,-0.19997925378961295,0.11640716800652007,0.137740031976283,0.1366394477043938,0.11257606468862796,0.12351062429381715,0.13727314286731843,0.09566014622635598,0.04453371433898632,-0.1475460956092067,0.1366394477043938,0.12351062429381715,0.11554074066354829
Do you think that discussing a physical health issue with your employer would have negative consequences?,,-0.053286415863812206,-0.13425529933213837,-0.07108974259500514,-0.07541371952108981,-0.08515049657909252,-0.04758658129012943,-0.34481680759063604,0.5093085767595967,1.0,-0.24761058891634555,-0.34296393043385603,-0.2572506632398729,,,,-0.030848213896944074,-0.07514888203252088,-0.22465829611263263,-0.14077414537865637,-0.16967581808861357,0.024215717363656127,0.037348267534200445,0.054524625959149656,0.05843324113531242,0.08726692274634372,0.08488925209817338,0.028913133699437585,0.08030155728339343,-0.07291090271726965,0.054524625959149656,0.08726692274634372,0.06244238810306667
